S. No.,Name of the Organization,Salary Per Annum (Rs. In Lakhs),Date of Test/ Interview,ECE,CSE,EEE,IT,MECH,PROD,CIVIL,CHEM,BIO- TECH,
235,SAMSUNG,6.1,18.05.2013,0,2,NA,1,NA,NA,NA,NA,NA,
236,MOLD-TEK TECHNOLOGIES,1.8,18.05.2013,NA,NA,NA,NA,0,NA,1,NA,NA,
237,EUREKA FORBES,1,20.05.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
238,CHANNELPLAY LTD,2.4,25.06.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
239,GE INDIA TECHNOLOGIES PVT LTD,2.4,03.07.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
240,TATA PROJECTS LTD,4.5,05.07.2013,NA,NA,1,NA,1,NA,2,1,NA,
241,SONATA SOFTWARE,4.3,05.07.2013,0,2,0,0,NA,NA,NA,NA,NA,
242,PYRO NETWORKS,2.75,05.07.2013,0,1,NA,NA,NA,NA,NA,NA,NA,
243,L & T CONSTRUCTION,4.5,07.07.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
244,MICROSOFT,11,"12 &
13.07.2013",NA,2,NA,1,NA,NA,NA,NA,NA,
245,GOOGLE,6,17.07.2013,0,0,0,1,0,0,0,0,0,
246,MAHINDRA & MAHINDRA,5.5,25.07.2013,NA,NA,NA,NA,0,1,NA,NA,NA,
247,DELOITTE,4.5,31.07.2013,9,10,0,8,NA,NA,NA,NA,NA,
248,J P MORGAN CHASE,6,08.08.2013,NA,NA,NA,2,NA,NA,NA,NA,NA,
249,FACTSET,6,13.08.2013,0,2,0,1,NA,NA,NA,NA,NA,
250,MICROSOFT,11,"13 &
14.08.2013",NA,2,NA,3,NA,NA,NA,NA,NA,
251,MICROSOFT INTERNSHIP,3,"13 &
14.08.2013",NA,3,NA,3,NA,NA,NA,NA,NA,
252,J P MORGAN CHASE,6,23.08.2013,NA,3,NA,2,NA,NA,NA,NA,NA,
253,ITC LTD,8,"02 &
03.09. 2013",NA,NA,1,NA,2,NA,NA,NA,NA,
254,FUTURES FIRST,8.75,"04 &
05.09.2013",0,0,0,0,1,0,0,0,0,
255,ELGI EQUIPMENTS LIMITED,3,11.09.2013,NA,NA,NA,NA,1,NA,NA,NA,NA,
256,CTS,3.35,"13 &
14.09.2013",56,41,21,15,13,7,11,12,8,
257,FCS,5,15.09.2013,1,3,NA,0,NA,NA,NA,NA,NA,
258,CAPITAL IQ,5.5,16.09.2013,NA,3,NA,0,NA,NA,NA,NA,NA,
259,INFOSYS,3.35,"19 &
20.09.2013",63,57,17,16,13,15,22,15,18,
260,HUL,5.53,20.09.2013,NA,NA,0,NA,1,NA,NA,NA,NA,
261,WIPRO,3.35,"23 &
24.09.2013",30,10,11,4,8,2,5,7,2,
262,MICROSOFT-GFS INTERNSHIP,3,19.09.2013,NA,2,NA,1,NA,NA,NA,NA,NA,
263,CAPGEMINI,3,25.09.2013,5,5,6,2,3,4,3,1,NA,
264,FMC TECHNOLOGIES,6,27.09.2013,NA,NA,NA,NA,1,1,NA,NA,NA,
265,CYBAGE,3,28.09.2013,5,1,NA,0,NA,NA,NA,NA,NA,
266,IGATE,3.25,04.10.2013,9,6,3,2,NA,NA,NA,NA,NA,
267,HSBC,4,09.10.2013,0,0,0,0,0,1,NA,NA,NA,
268,CTS-MBA-FINANCE,2.5,07.12.2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,
269,PEGA SYSTEMS,6,11.12.2013,1,7,NA,0,NA,NA,NA,NA,NA,
